age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
20, Private,82016, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, United-States, <=50K
53, Local-gov,225099, HS-grad,9, Widowed, Other-service, Not-in-family, White, Male,4892,0,40, United-States, <=50K
42, Private,117099, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,25, United-States, >50K
30, Private,237574, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Wife, White, Female,0,0,40, United-States, <=50K
33, Private,235827, Bachelors,13, Never-married, Exec-managerial, Own-child, Black, Female,0,0,40, United-States, <=50K
59, ?,277944, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,38, United-States, <=50K
69, Self-emp-not-inc,132590, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,6721,0,45, United-States, >50K
58, Private,94945, HS-grad,9, Widowed, Transport-moving, Not-in-family, White, Female,0,0,42, United-States, <=50K
23, Federal-gov,223377, Bachelors,13, Never-married, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
59, Private,246041, 12th,8, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
45, Private,204679, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States, <=50K
45, Self-emp-not-inc,111980, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,42, United-States, <=50K
47, Self-emp-not-inc,46802, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
46, Private,242891, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States, <=50K
40, Self-emp-not-inc,152948, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
34, Private,343254, Bachelors,13, Married-civ-spouse, Adm-clerical, Wife, Black, Female,0,0,40, Jamaica, >50K
27, Private,311404, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K
48, Private,27193, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,6226,0,56, United-States, >50K
38, Private,195151, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States, <=50K
24, Private,137880, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States, <=50K
39, Local-gov,92298, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
57, Private,62130, 5th-6th,3, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, Canada, <=50K
52, Self-emp-not-inc,131276, Some-college,10, Widowed, Farming-fishing, Not-in-family, White, Male,0,0,25, United-States, <=50K
28, ?,40549, HS-grad,9, Never-married, ?, Not-in-family, White, Female,0,0,40, United-States, <=50K
52, Private,101999, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
23, Private,233779, Bachelors,13, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
32, Private,388062, HS-grad,9, Never-married, Other-service, Not-in-family, Black, Male,0,0,55, United-States, <=50K
36, Private,50818, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,1893,60, United-States, >50K
21, Private,148716, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,35, United-States, <=50K
50, Self-emp-not-inc,178845, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,55, United-States, <=50K
47, Private,205891, Some-college,10, Never-married, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
53, Private,203742, HS-grad,9, Widowed, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K
25, Private,178287, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K
20, Private,194494, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,25, United-States, <=50K
25, Private,271041, HS-grad,9, Never-married, Handlers-cleaners, Own-child, Black, Female,0,0,30, United-States, <=50K
44, Self-emp-inc,154926, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
49, Private,132356, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
