age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
28, Private,215684, Some-college,10, Never-married, Handlers-cleaners, Other-relative, White, Female,0,0,20, United-States, <=50K
70, Private,19737, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
26, Private,62824, HS-grad,9, Never-married, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K
35, Private,93247, 11th,7, Never-married, Sales, Own-child, White, Male,0,0,50, United-States, <=50K
61, Federal-gov,168693, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
57, Self-emp-not-inc,94455, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
57, Private,312681, 1st-4th,13, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,35, United-States, <=50K
41, Private,143437, 11th,9, Divorced, Sales, Unmarried, Black, Female,0,0,44, United-States, <=50K
25, Private,265026, Some-college,10, Never-married, Prof-specialty, Other-relative, White, Female,0,0,20, United-States, <=50K
29, Private,167758, 9th,5, Never-married, Other-service, Own-child, White, Female,0,0,25, United-States, <=50K
23, Private,170771, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,0,0,45, United-States, <=50K
57, Private,171685, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
33, Private,68677, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
61, Private,97019, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
23, Private,174518, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,0,0,44, United-States, <=50K
39, Private,275914, HS-grad,9, Married-spouse-absent, Sales, Husband, White, Male,0,0,40, United-States, <=50K
53, ?,218037, Masters,14, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States, >50K
30, Private,236449, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, Black, Female,0,0,40, United-States, >50K
28, ?,257140, Assoc-acdm,12, Never-married, ?, Not-in-family, White, Female,0,0,40, Germany, <=50K
57, Local-gov,66481, 7th-8th,13, Never-married, ?, Own-child, White, Female,0,0,25, United-States, <=50K
40, Private,140370, Masters,14, Never-married, Priv-house-serv, Own-child, White, Male,0,0,25, United-States, <=50K
37, Self-emp-not-inc,206858, HS-grad,9, Divorced, Craft-repair, Unmarried, White, Male,0,0,25, United-States, <=50K
