age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
70.058205, Private,149380.53, Bachelors,13.0, Separated, Other-service, Unmarried, White, Female,0.0,0.0,29.504051, ?, <=50K
22.0, Private,462742.25, Assoc-acdm,12.0, Never-married, Adm-clerical, Not-in-family, White, Female,0.0,0.0,35.0, United-States, <=50K
26.0, Private,200163.53, Some-college,10.0, Never-married, Handlers-cleaners, Not-in-family, White, Male,0.0,0.0,20.0, United-States, <=50K
21.0, Private,184316.81, Some-college,10.0, Never-married, Sales, Not-in-family, White, Female,0.0,1650.23,10.0, United-States, <=50K
35.0, Private,198821.73, Bachelors,13.0, Never-married, Adm-clerical, Not-in-family, Black, Male,0.0,0.0,40.0, United-States, <=50K
40.0, Self-emp-not-inc,202851.23, HS-grad,9.0, Divorced, Other-service, Not-in-family, White, Female,0.0,0.0,2.745052, United-States, <=50K
55.0, Private,117546.63, 5th-6th,3.0, Never-married, Other-service, Own-child, White, Male,4330.9243,0.0,40.0, United-States, <=50K
17.0, ?,126881.08, 11th,7.0, Never-married, ?, Own-child, White, Female,0.0,0.0,10.0, United-States, <=50K
34.88702, Private,201362.64, HS-grad,9.0, Never-married, Adm-clerical, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
19.0, Private,128619.414, Some-college,10.0, Never-married, Sales, Own-child, White, Male,0.0,0.0,40.0, United-States, <=50K
57.103695, ?,156319.95, Doctorate,16.0, Married-civ-spouse, ?, Husband, White, Male,0.0,0.0,50.0, China, <=50K
22.0, Private,110665.53, HS-grad,9.0, Never-married, Priv-house-serv, Other-relative, White, Female,0.0,2215.6125,25.0, Mexico, <=50K
31.0, Private,177306.64, Masters,14.0, Never-married, Prof-specialty, Unmarried, White, Female,0.0,0.0,40.0, United-States, <=50K
32.0, Private,193605.72, HS-grad,9.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
60.0, Private,173066.08, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,5013.0,0.0,36.0, United-States, >50K
43.0, Federal-gov,170131.3, Assoc-acdm,12.0, Divorced, Adm-clerical, Not-in-family, White, Female,0.0,0.0,32.0, United-States, <=50K
28.0, Private,224159.27, 10th,6.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
24.0, Self-emp-inc,168431.11, Bachelors,13.0, Never-married, Other-service, Own-child, White, Male,0.0,0.0,15.0, United-States, <=50K
