age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
70.0, Private,149381.0, Bachelors,13.0, Separated, Other-service, Unmarried, White, Female,0.0,0.0,30.0, ?, <=50K
22.0, Private,462742.0, Assoc-acdm,12.0, Never-married, Adm-clerical, Not-in-family, White, Female,0.0,0.0,35.0, United-States, <=50K
26.0, Private,200164.0, Some-college,10.0, Never-married, Handlers-cleaners, Not-in-family, White, Male,0.0,0.0,20.0, United-States, <=50K
21.0, Private,184317.0, Some-college,10.0, Never-married, Sales, Not-in-family, White, Female,0.0,1650.0,10.0, United-States, <=50K
35.0, Private,198822.0, Bachelors,13.0, Never-married, Adm-clerical, Not-in-family, Black, Male,0.0,0.0,40.0, United-States, <=50K
40.0, Self-emp-not-inc,202851.0, HS-grad,9.0, Divorced, Other-service, Not-in-family, White, Female,0.0,0.0,3.0, United-States, <=50K
55.0, Private,117547.0, 5th-6th,3.0, Never-married, Other-service, Own-child, White, Male,4331.0,0.0,40.0, United-States, <=50K
17.0, ?,126881.0, 11th,7.0, Never-married, ?, Own-child, White, Female,0.0,0.0,10.0, United-States, <=50K
35.0, Private,201363.0, HS-grad,9.0, Never-married, Adm-clerical, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
19.0, Private,128619.0, Some-college,10.0, Never-married, Sales, Own-child, White, Male,0.0,0.0,40.0, United-States, <=50K
57.0, ?,156320.0, Doctorate,16.0, Married-civ-spouse, ?, Husband, White, Male,0.0,0.0,50.0, China, <=50K
22.0, Private,110666.0, HS-grad,9.0, Never-married, Priv-house-serv, Other-relative, White, Female,0.0,2216.0,25.0, Mexico, <=50K
31.0, Private,177307.0, Masters,14.0, Never-married, Prof-specialty, Unmarried, White, Female,0.0,0.0,40.0, United-States, <=50K
32.0, Private,193606.0, HS-grad,9.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
60.0, Private,173066.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,5013.0,0.0,36.0, United-States, >50K
43.0, Federal-gov,170131.0, Assoc-acdm,12.0, Divorced, Adm-clerical, Not-in-family, White, Female,0.0,0.0,32.0, United-States, <=50K
28.0, Private,224159.0, 10th,6.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
24.0, Self-emp-inc,168431.0, Bachelors,13.0, Never-married, Other-service, Own-child, White, Male,0.0,0.0,15.0, United-States, <=50K
23.0, Private,57396.0, 10th,6.0, Never-married, Other-service, Not-in-family, White, Male,0.0,0.0,20.0, United-States, <=50K
23.0, Self-emp-inc,50531.0, Assoc-acdm,12.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, Germany, <=50K
19.0, Self-emp-inc,159325.0, Some-college,10.0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0.0,0.0,37.0, United-States, <=50K
22.0, Private,167195.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander, Female,0.0,0.0,15.0, South, <=50K
19.0, Self-emp-not-inc,167447.0, 11th,7.0, Never-married, Other-service, Not-in-family, White, Female,0.0,0.0,15.0, United-States, <=50K
24.0, Private,190595.0, HS-grad,9.0, Never-married, Other-service, Not-in-family, White, Male,0.0,0.0,30.0, United-States, <=50K
29.0, Private,182818.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
42.0, Private,203867.0, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Wife, White, Female,0.0,0.0,38.0, United-States, <=50K
17.0, Private,177807.0, 11th,7.0, Never-married, Other-service, Own-child, White, Female,0.0,0.0,12.0, United-States, <=50K
23.0, Self-emp-not-inc,54737.0, 10th,6.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,35.0, United-States, <=50K
20.0, Self-emp-inc,184915.0, Some-college,10.0, Married-civ-spouse, Exec-managerial, Wife, White, Female,0.0,1588.0,30.0, United-States, <=50K
25.0, Federal-gov,209041.0, HS-grad,9.0, Never-married, Craft-repair, Own-child, White, Male,0.0,0.0,40.0, Greece, <=50K
18.0, Local-gov,71601.0, Some-college,10.0, Never-married, Other-service, Own-child, White, Female,0.0,0.0,11.0, United-States, <=50K
