age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
51.22474, Private,147174.45, Some-college,10.0, Never-married, Other-service, Unmarried, White, Male,0.0,0.0,40.0, United-States, <=50K
54.0, Private,263002.53, HS-grad,9.0, Divorced, Other-service, Unmarried, White, Female,0.0,0.0,27.392319, United-States, <=50K
29.0, Local-gov,107449.82, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
25.0, Private,251747.11, HS-grad,9.0, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0.0,0.0,40.0, United-States, <=50K
31.0, Private,271824.7, Bachelors,13.0, Never-married, Exec-managerial, Own-child, White, Female,0.0,0.0,44.0, United-States, <=50K
71.96429, Private,156512.34, 10th,6.0, Widowed, Sales, Other-relative, White, Female,0.0,0.0,8.497193, United-States, <=50K
34.0, Private,414831.0, Masters,14.0, Never-married, Prof-specialty, Not-in-family, White, Male,0.0,0.0,50.0, United-States, <=50K
48.0, Private,97618.34, Bachelors,13.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
25.0, Local-gov,190151.81, Some-college,10.0, Never-married, Prof-specialty, Other-relative, Asian-Pac-Islander, Female,0.0,0.0,45.0, United-States, <=50K
49.0, Self-emp-not-inc,149836.19, HS-grad,9.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,36.93876, United-States, <=50K
29.0, Private,148606.08, Assoc-voc,11.0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
35.0, Private,188475.98, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,15024.0,0.0,60.0, United-States, >50K
29.0, Private,238874.02, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
30.0, Private,114280.5, HS-grad,9.0, Never-married, Handlers-cleaners, Own-child, White, Male,0.0,0.0,40.0, United-States, <=50K
