age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
43.0, Local-gov,227622.48, 7th-8th,4.0, Married-civ-spouse, Protective-serv, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
28.0, ?,384736.8, HS-grad,9.0, Divorced, ?, Not-in-family, White, Female,0.0,0.0,51.357056, Greece, <=50K
34.0, Private,86849.21, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,7688.0,0.0,45.0, United-States, >50K
42.0, Self-emp-not-inc,216223.03, Some-college,10.0, Never-married, Other-service, Unmarried, White, Female,9992.278,0.0,20.0, United-States, <=50K
21.0, Private,239261.66, Some-college,10.0, Never-married, Exec-managerial, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
45.0, Self-emp-inc,172172.78, Masters,14.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,50.0, United-States, >50K
45.0, Private,128017.016, Masters,14.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,1990.1858,50.0, United-States, >50K
47.0, Private,205597.31, HS-grad,9.0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0.0,0.0,28.0, United-States, <=50K
55.0, State-gov,38567.617, HS-grad,9.0, Widowed, Adm-clerical, Unmarried, White, Female,0.0,0.0,40.0, United-States, <=50K
36.0, Private,85001.39, Some-college,10.0, Never-married, Other-service, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
43.0, ?,376263.28, HS-grad,9.0, Married-civ-spouse, ?, Wife, White, Female,0.0,0.0,40.0, United-States, <=50K
30.954948, Self-emp-inc,180105.22, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
32.0, Private,165415.8, Some-college,10.0, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0.0,0.0,40.0, Nicaragua, <=50K
45.0, Federal-gov,177006.14, 11th,7.0, Divorced, Other-service, Unmarried, White, Female,0.0,0.0,37.0, United-States, <=50K
51.0, Private,265727.28, Masters,14.0, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0.0,0.0,40.0, Laos, <=50K
51.0, Federal-gov,36638.785, HS-grad,9.0, Widowed, Prof-specialty, Unmarried, Black, Female,0.0,0.0,40.0, United-States, >50K
36.0, Self-emp-not-inc,373502.5, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
47.0, Self-emp-inc,273306.1, Prof-school,15.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,2386.3806,50.0, ?, >50K
23.0, Private,234257.9, HS-grad,9.0, Never-married, Craft-repair, Own-child, White, Male,0.0,0.0,40.0, United-States, <=50K
31.0, Private,75533.02, HS-grad,9.0, Never-married, Adm-clerical, Own-child, White, Male,0.0,0.0,40.0, United-States, <=50K
42.0, Self-emp-not-inc,80020.305, HS-grad,9.0, Divorced, Adm-clerical, Unmarried, White, Female,0.0,0.0,40.0, United-States, <=50K
18.0, Private,361564.66, Some-college,10.0, Never-married, Craft-repair, Own-child, White, Male,0.0,0.0,10.0, United-States, <=50K
26.0, ?,167249.12, Bachelors,13.0, Never-married, ?, Own-child, White, Female,0.0,0.0,40.0, United-States, >50K
58.0, Private,274838.0, Assoc-voc,11.0, Married-civ-spouse, Craft-repair, Husband, Black, Male,0.0,0.0,40.0, United-States, <=50K
22.0, Private,54736.6, HS-grad,9.0, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
37.0, Private,112626.84, Some-college,10.0, Married-civ-spouse, Handlers-cleaners, Wife, White, Male,0.0,0.0,40.0, United-States, <=50K
27.0, Private,121870.52, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0.0,0.0,40.0, United-States, <=50K
24.0, Private,189603.44, HS-grad,9.0, Never-married, Other-service, Own-child, White, Male,0.0,0.0,32.0, United-States, <=50K
52.0, Private,196422.61, HS-grad,9.0, Never-married, Exec-managerial, Unmarried, White, Male,0.0,1902.0,51.619923, United-States, <=50K
48.0, Private,184419.9, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,43.0, United-States, <=50K
36.0, Local-gov,99170.97, Some-college,10.0, Married-civ-spouse, Tech-support, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
33.0, Private,185786.52, HS-grad,9.0, Separated, Machine-op-inspct, Unmarried, White, Female,0.0,0.0,25.0, United-States, <=50K
28.0, Private,189963.78, Masters,14.0, Married-civ-spouse, Prof-specialty, Wife, White, Female,0.0,0.0,60.0, United-States, <=50K
29.0, State-gov,70004.02, Some-college,10.0, Never-married, Prof-specialty, Own-child, White, Male,0.0,0.0,60.0, United-States, <=50K
40.0, Private,440486.4, Masters,14.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
25.513613, Private,110355.82, HS-grad,9.0, Never-married, Craft-repair, Unmarried, White, Female,0.0,0.0,35.0, United-States, <=50K
45.0, Private,193561.5, Assoc-voc,11.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
32.0, Private,228845.98, Some-college,10.0, Separated, Other-service, Not-in-family, Black, Male,0.0,0.0,40.0, United-States, <=50K
67.0, Private,78083.31, HS-grad,9.0, Widowed, Handlers-cleaners, Not-in-family, White, Male,0.0,0.0,48.0, United-States, <=50K
46.0, Private,191364.53, HS-grad,9.0, Never-married, Farming-fishing, Own-child, White, Male,0.0,0.0,43.0, United-States, <=50K
44.0, Private,204363.31, Bachelors,13.0, Married-civ-spouse, Tech-support, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
36.0, Private,358191.78, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,5013.0,0.0,60.0, United-States, >50K
35.0, Self-emp-not-inc,255415.31, Bachelors,13.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
30.0, Private,161767.39, Assoc-voc,11.0, Married-civ-spouse, Protective-serv, Husband, White, Male,0.0,0.0,50.0, United-States, <=50K
34.0, Private,167949.97, Bachelors,13.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
20.0, Private,87850.58, Some-college,10.0, Never-married, Other-service, Own-child, White, Female,0.0,0.0,20.0, United-States, <=50K
50.0, State-gov,109961.5, Some-college,10.0, Divorced, Adm-clerical, Unmarried, White, Female,0.0,0.0,40.0, United-States, <=50K
45.0, Private,99167.63, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
27.0, Private,65031.215, Bachelors,13.0, Never-married, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
22.0, ?,189867.12, Some-college,10.0, Married-civ-spouse, ?, Wife, White, Female,0.0,0.0,10.0, United-States, <=50K
43.0, Private,250946.22, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,1887.0,55.0, United-States, >50K
48.0, Local-gov,104426.664, Bachelors,13.0, Married-civ-spouse, Tech-support, Husband, White, Male,0.0,1902.0,50.0, United-States, >50K
51.0, Federal-gov,160683.16, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,2466.9639,99.0, United-States, >50K
23.0, Private,285163.0, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
56.0, Private,104489.35, HS-grad,9.0, Married-civ-spouse, Tech-support, Husband, White, Male,0.0,0.0,60.0, United-States, >50K
33.0, Private,127770.26, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,50.0, United-States, <=50K
40.0, Private,200998.88, 9th,5.0, Married-civ-spouse, Sales, Wife, White, Female,0.0,0.0,50.0, United-States, <=50K
18.0, Private,153906.83, 10th,6.0, Never-married, Other-service, Own-child, Black, Female,0.0,0.0,40.0, United-States, <=50K
36.0, Self-emp-not-inc,133946.6, 10th,6.0, Divorced, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0.0,0.0,35.0, United-States, <=50K
53.0, Private,141620.66, Prof-school,15.0, Separated, Prof-specialty, Not-in-family, Black, Male,0.0,0.0,55.0, United-States, >50K
31.0, Private,41372.77, Some-college,10.0, Never-married, Protective-serv, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
49.0, Private,220244.8, Masters,14.0, Divorced, Exec-managerial, Not-in-family, White, Female,0.0,0.0,50.0, United-States, >50K
40.0, Self-emp-not-inc,225817.14, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,45.0, United-States, <=50K
65.0, Private,192885.42, Masters,14.0, Divorced, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, Italy, <=50K
56.0, Private,248908.25, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
18.199152, Private,31301.11, HS-grad,9.0, Never-married, Machine-op-inspct, Own-child, White, Male,4652.99,0.0,45.0, United-States, <=50K
73.654495, ?,280706.72, 7th-8th,4.0, Married-civ-spouse, ?, Husband, White, Male,3942.4792,0.0,40.0, United-States, >50K
45.0, Private,179865.34, HS-grad,9.0, Separated, Craft-repair, Unmarried, White, Female,0.0,0.0,40.0, United-States, <=50K
25.0, Private,392679.28, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Wife, White, Female,0.0,0.0,40.0, United-States, >50K
49.900772, Self-emp-inc,86699.984, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0.0,1977.0,40.0, United-States, >50K
32.0, Private,184115.98, 12th,7.0, Never-married, Other-service, Other-relative, Asian-Pac-Islander, Male,0.0,0.0,50.0, China, <=50K
49.0, Private,179617.39, Prof-school,15.0, Divorced, Transport-moving, Own-child, White, Female,0.0,0.0,40.0, United-States, <=50K
49.0, Private,216411.8, Masters,14.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
51.0, Private,312088.84, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,1902.0,40.0, United-States, >50K
44.0, Self-emp-inc,180758.73, Bachelors,13.0, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,0.0,0.0,50.0, United-States, <=50K
47.22245, Private,93676.48, Bachelors,13.0, Married-civ-spouse, Tech-support, Husband, White, Male,0.0,1745.5028,40.0, United-States, <=50K
27.0, Self-emp-inc,38697.074, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,37.0, ?, <=50K
31.0, Self-emp-not-inc,73914.98, HS-grad,9.0, Separated, Exec-managerial, Unmarried, Black, Female,0.0,0.0,20.242237, United-States, <=50K
37.0, Private,236046.83, HS-grad,9.0, Never-married, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
32.0, State-gov,149628.12, HS-grad,9.0, Married-civ-spouse, Other-service, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
28.0, Private,315884.22, Some-college,10.0, Never-married, Exec-managerial, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
25.10496, Private,157846.34, Assoc-voc,11.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,60.7369, United-States, <=50K
20.0, ?,197640.75, Assoc-acdm,12.0, Never-married, ?, Not-in-family, White, Female,0.0,0.0,30.0, United-States, <=50K
50.0, Private,98809.57, 10th,6.0, Divorced, Other-service, Other-relative, Black, Female,0.0,0.0,25.0, United-States, <=50K
30.0, Private,348297.8, HS-grad,9.0, Never-married, Sales, Own-child, White, Female,0.0,0.0,40.0, United-States, <=50K
25.0, Private,262252.44, 5th-6th,3.0, Never-married, Other-service, Not-in-family, White, Female,0.0,0.0,40.0, Mexico, <=50K
