age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
43.0, Local-gov,227622.0, 7th-8th,4.0, Married-civ-spouse, Protective-serv, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
28.0, ?,384737.0, HS-grad,9.0, Divorced, ?, Not-in-family, White, Female,0.0,0.0,51.0, Greece, <=50K
34.0, Private,86849.0, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,7688.0,0.0,45.0, United-States, >50K
42.0, Self-emp-not-inc,216223.0, Some-college,10.0, Never-married, Other-service, Unmarried, White, Female,9992.0,0.0,20.0, United-States, <=50K
21.0, Private,239262.0, Some-college,10.0, Never-married, Exec-managerial, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
45.0, Self-emp-inc,172173.0, Masters,14.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,50.0, United-States, >50K
45.0, Private,128017.0, Masters,14.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,1990.0,50.0, United-States, >50K
47.0, Private,205597.0, HS-grad,9.0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0.0,0.0,28.0, United-States, <=50K
55.0, State-gov,38568.0, HS-grad,9.0, Widowed, Adm-clerical, Unmarried, White, Female,0.0,0.0,40.0, United-States, <=50K
36.0, Private,85001.0, Some-college,10.0, Never-married, Other-service, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
43.0, ?,376263.0, HS-grad,9.0, Married-civ-spouse, ?, Wife, White, Female,0.0,0.0,40.0, United-States, <=50K
31.0, Self-emp-inc,180105.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
32.0, Private,165416.0, Some-college,10.0, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0.0,0.0,40.0, Nicaragua, <=50K
45.0, Federal-gov,177006.0, 11th,7.0, Divorced, Other-service, Unmarried, White, Female,0.0,0.0,37.0, United-States, <=50K
51.0, Private,265727.0, Masters,14.0, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0.0,0.0,40.0, Laos, <=50K
51.0, Federal-gov,36639.0, HS-grad,9.0, Widowed, Prof-specialty, Unmarried, Black, Female,0.0,0.0,40.0, United-States, >50K
36.0, Self-emp-not-inc,373502.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
47.0, Self-emp-inc,273306.0, Prof-school,15.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,2386.0,50.0, ?, >50K
23.0, Private,234258.0, HS-grad,9.0, Never-married, Craft-repair, Own-child, White, Male,0.0,0.0,40.0, United-States, <=50K
31.0, Private,75533.0, HS-grad,9.0, Never-married, Adm-clerical, Own-child, White, Male,0.0,0.0,40.0, United-States, <=50K
42.0, Self-emp-not-inc,80020.0, HS-grad,9.0, Divorced, Adm-clerical, Unmarried, White, Female,0.0,0.0,40.0, United-States, <=50K
18.0, Private,361565.0, Some-college,10.0, Never-married, Craft-repair, Own-child, White, Male,0.0,0.0,10.0, United-States, <=50K
26.0, ?,167249.0, Bachelors,13.0, Never-married, ?, Own-child, White, Female,0.0,0.0,40.0, United-States, >50K
58.0, Private,274838.0, Assoc-voc,11.0, Married-civ-spouse, Craft-repair, Husband, Black, Male,0.0,0.0,40.0, United-States, <=50K
