account_id,district_id,frequency,date
576,55,POPLATEK MESICNE,1993-01-01
2378,16,POPLATEK MESICNE,1993-01-01
2632,24,POPLATEK MESICNE,1993-01-02
1539,1,POPLATEK PO OBRATU,1993-01-03
2484,74,POPLATEK MESICNE,1993-01-03
1726,48,POPLATEK MESICNE,1993-01-03
2881,70,POPLATEK MESICNE,1993-01-04
485,6,POPLATEK PO OBRATU,1993-01-04
652,21,POPLATEK MESICNE,1993-01-05
1844,44,POPLATEK MESICNE,1993-01-06
1926,37,POPLATEK MESICNE,1993-01-06
3510,41,POPLATEK MESICNE,1993-01-07
1637,1,POPLATEK MESICNE,1993-01-08
764,1,POPLATEK MESICNE,1993-01-08
2087,7,POPLATEK TYDNE,1993-01-08
2122,68,POPLATEK MESICNE,1993-01-08
3592,54,POPLATEK MESICNE,1993-01-08
1730,1,POPLATEK MESICNE,1993-01-09
1493,41,POPLATEK MESICNE,1993-01-09
374,38,POPLATEK MESICNE,1993-01-09
866,9,POPLATEK MESICNE,1993-01-10
1628,60,POPLATEK MESICNE,1993-01-10
346,37,POPLATEK MESICNE,1993-01-11
1338,74,POPLATEK MESICNE,1993-01-11
2099,3,POPLATEK TYDNE,1993-01-12
3760,44,POPLATEK MESICNE,1993-01-13
1699,53,POPLATEK MESICNE,1993-01-14
1731,33,POPLATEK MESICNE,1993-01-14
11265,15,POPLATEK MESICNE,1993-01-14
2519,4,POPLATEK MESICNE,1993-01-15
1481,15,POPLATEK MESICNE,1993-01-17
401,32,POPLATEK MESICNE,1993-01-18
4034,1,POPLATEK MESICNE,1993-01-18
2330,54,POPLATEK MESICNE,1993-01-19
1806,40,POPLATEK MESICNE,1993-01-19
3834,54,POPLATEK MESICNE,1993-01-19
456,49,POPLATEK MESICNE,1993-01-21
459,47,POPLATEK MESICNE,1993-01-21
2970,60,POPLATEK MESICNE,1993-01-22
1179,74,POPLATEK MESICNE,1993-01-23
280,25,POPLATEK MESICNE,1993-01-23
2425,41,POPLATEK MESICNE,1993-01-23
4055,23,POPLATEK MESICNE,1993-01-24
5065,66,POPLATEK MESICNE,1993-01-24
5891,54,POPLATEK MESICNE,1993-01-25
1750,1,POPLATEK MESICNE,1993-01-26
6473,12,POPLATEK MESICNE,1993-01-26
1649,46,POPLATEK MESICNE,1993-01-26
2670,13,POPLATEK MESICNE,1993-01-27
1127,27,POPLATEK MESICNE,1993-01-27
163,30,POPLATEK MESICNE,1993-01-27
1144,59,POPLATEK MESICNE,1993-01-28
2902,32,POPLATEK MESICNE,1993-01-28
4296,63,POPLATEK MESICNE,1993-01-28
2070,72,POPLATEK MESICNE,1993-01-29
1843,12,POPLATEK MESICNE,1993-01-30
1675,36,POPLATEK MESICNE,1993-02-01
2434,17,POPLATEK MESICNE,1993-02-02
3007,16,POPLATEK MESICNE,1993-02-02
1132,1,POPLATEK TYDNE,1993-02-03
3983,67,POPLATEK MESICNE,1993-02-04
465,32,POPLATEK MESICNE,1993-02-04
982,54,POPLATEK MESICNE,1993-02-05
411,70,POPLATEK MESICNE,1993-02-05
890,14,POPLATEK MESICNE,1993-02-05
3960,64,POPLATEK MESICNE,1993-02-06
8051,1,POPLATEK TYDNE,1993-02-07
2647,73,POPLATEK MESICNE,1993-02-08
5622,70,POPLATEK MESICNE,1993-02-08
7753,74,POPLATEK MESICNE,1993-02-08
1477,1,POPLATEK MESICNE,1993-02-08
4240,50,POPLATEK MESICNE,1993-02-08
9188,45,POPLATEK MESICNE,1993-02-08
1134,6,POPLATEK MESICNE,1993-02-09
2585,75,POPLATEK MESICNE,1993-02-10
2220,16,POPLATEK MESICNE,1993-02-10
1944,72,POPLATEK MESICNE,1993-02-12
1801,46,POPLATEK MESICNE,1993-02-13
2543,68,POPLATEK MESICNE,1993-02-13
11013,1,POPLATEK TYDNE,1993-02-14
2423,30,POPLATEK MESICNE,1993-02-14
3554,66,POPLATEK MESICNE,1993-02-16
3545,51,POPLATEK MESICNE,1993-02-17
3047,16,POPLATEK MESICNE,1993-02-17
3374,21,POPLATEK MESICNE,1993-02-17
96,68,POPLATEK MESICNE,1993-02-18
3026,24,POPLATEK MESICNE,1993-02-18
3787,70,POPLATEK MESICNE,1993-02-19
128,2,POPLATEK MESICNE,1993-02-19
3168,39,POPLATEK MESICNE,1993-02-20
1678,1,POPLATEK MESICNE,1993-02-22
2396,2,POPLATEK MESICNE,1993-02-22
1005,54,POPLATEK TYDNE,1993-02-23
2110,64,POPLATEK MESICNE,1993-02-23
3117,33,POPLATEK MESICNE,1993-02-24
562,50,POPLATEK MESICNE,1993-02-25
2242,7,POPLATEK TYDNE,1993-02-25
496,69,POPLATEK MESICNE,1993-02-26
2,1,POPLATEK MESICNE,1993-02-26
2486,1,POPLATEK MESICNE,1993-02-27
3651,23,POPLATEK MESICNE,1993-02-27
1775,17,POPLATEK MESICNE,1993-02-27
1688,70,POPLATEK MESICNE,1993-02-27
361,51,POPLATEK MESICNE,1993-02-27
239,69,POPLATEK TYDNE,1993-03-01
4134,7,POPLATEK MESICNE,1993-03-03
1713,43,POPLATEK MESICNE,1993-03-03
1378,59,POPLATEK MESICNE,1993-03-04
86,54,POPLATEK MESICNE,1993-03-07
2453,1,POPLATEK MESICNE,1993-03-08
3935,23,POPLATEK MESICNE,1993-03-08
4596,74,POPLATEK MESICNE,1993-03-09
2489,72,POPLATEK MESICNE,1993-03-09
2895,19,POPLATEK MESICNE,1993-03-09
2555,53,POPLATEK MESICNE,1993-03-10
2219,60,POPLATEK MESICNE,1993-03-11
3674,38,POPLATEK MESICNE,1993-03-12
2039,44,POPLATEK MESICNE,1993-03-12
2712,9,POPLATEK MESICNE,1993-03-12
395,1,POPLATEK MESICNE,1993-03-12
2974,9,POPLATEK MESICNE,1993-03-13
2508,34,POPLATEK MESICNE,1993-03-14
2458,40,POPLATEK TYDNE,1993-03-14
588,66,POPLATEK MESICNE,1993-03-14
6701,49,POPLATEK TYDNE,1993-03-15
3883,72,POPLATEK MESICNE,1993-03-15
2497,65,POPLATEK MESICNE,1993-03-16
1372,1,POPLATEK MESICNE,1993-03-16
3835,50,POPLATEK MESICNE,1993-03-16
425,9,POPLATEK MESICNE,1993-03-19
6034,6,POPLATEK TYDNE,1993-03-19
115,68,POPLATEK MESICNE,1993-03-19
1189,59,POPLATEK MESICNE,1993-03-19
892,70,POPLATEK MESICNE,1993-03-20
2651,2,POPLATEK MESICNE,1993-03-21
655,53,POPLATEK MESICNE,1993-03-24
2528,65,POPLATEK MESICNE,1993-03-25
1721,68,POPLATEK MESICNE,1993-03-25
1332,59,POPLATEK MESICNE,1993-03-25
3781,31,POPLATEK MESICNE,1993-03-26
3076,54,POPLATEK MESICNE,1993-03-27
1157,7,POPLATEK MESICNE,1993-03-27
1874,9,POPLATEK MESICNE,1993-03-27
3586,59,POPLATEK MESICNE,1993-03-27
62,47,POPLATEK MESICNE,1993-03-28
5483,13,POPLATEK MESICNE,1993-03-28
6425,31,POPLATEK MESICNE,1993-03-29
2896,29,POPLATEK MESICNE,1993-03-30
3980,75,POPLATEK MESICNE,1993-04-03
686,41,POPLATEK MESICNE,1993-04-04
362,15,POPLATEK MESICNE,1993-04-04
2056,58,POPLATEK MESICNE,1993-04-07
748,10,POPLATEK MESICNE,1993-04-08
1147,44,POPLATEK MESICNE,1993-04-10
3788,70,POPLATEK MESICNE,1993-04-10
8321,77,POPLATEK MESICNE,1993-04-12
2838,3,POPLATEK TYDNE,1993-04-13
3644,38,POPLATEK MESICNE,1993-04-13
4318,33,POPLATEK TYDNE,1993-04-13
5428,24,POPLATEK MESICNE,1993-04-14
1152,45,POPLATEK MESICNE,1993-04-15
1815,66,POPLATEK MESICNE,1993-04-17
4321,47,POPLATEK MESICNE,1993-04-18
1773,33,POPLATEK MESICNE,1993-04-19
188,54,POPLATEK MESICNE,1993-04-20
2599,48,POPLATEK MESICNE,1993-04-20
1166,11,POPLATEK MESICNE,1993-04-21
1518,67,POPLATEK MESICNE,1993-04-21
2189,75,POPLATEK MESICNE,1993-04-22
6040,1,POPLATEK MESICNE,1993-04-22
2876,52,POPLATEK MESICNE,1993-04-22
717,75,POPLATEK MESICNE,1993-04-24
977,1,POPLATEK MESICNE,1993-04-26
1032,11,POPLATEK MESICNE,1993-04-26
928,20,POPLATEK MESICNE,1993-04-26
2175,1,POPLATEK MESICNE,1993-04-27
2222,47,POPLATEK MESICNE,1993-05-01
2609,73,POPLATEK MESICNE,1993-05-03
5472,1,POPLATEK MESICNE,1993-05-04
2932,72,POPLATEK MESICNE,1993-05-04
3965,31,POPLATEK MESICNE,1993-05-04
4743,64,POPLATEK MESICNE,1993-05-05
1236,19,POPLATEK MESICNE,1993-05-05
1822,30,POPLATEK MESICNE,1993-05-05
3316,28,POPLATEK MESICNE,1993-05-06
1200,33,POPLATEK MESICNE,1993-05-07
5372,48,POPLATEK MESICNE,1993-05-08
1784,59,POPLATEK MESICNE,1993-05-08
1603,1,POPLATEK MESICNE,1993-05-09
1887,68,POPLATEK MESICNE,1993-05-09
1658,73,POPLATEK MESICNE,1993-05-10
1039,70,POPLATEK TYDNE,1993-05-10
1071,68,POPLATEK TYDNE,1993-05-10
2410,54,POPLATEK MESICNE,1993-05-11
2523,10,POPLATEK MESICNE,1993-05-11
751,3,POPLATEK MESICNE,1993-05-12
2061,24,POPLATEK MESICNE,1993-05-12
8261,13,POPLATEK MESICNE,1993-05-12
2321,35,POPLATEK MESICNE,1993-05-13
1334,74,POPLATEK MESICNE,1993-05-14
3649,54,POPLATEK MESICNE,1993-05-14
863,71,POPLATEK MESICNE,1993-05-16
3181,42,POPLATEK MESICNE,1993-05-16
3210,1,POPLATEK MESICNE,1993-05-17
947,59,POPLATEK MESICNE,1993-05-17
1610,52,POPLATEK MESICNE,1993-05-17
1412,64,POPLATEK MESICNE,1993-05-18
2758,70,POPLATEK MESICNE,1993-05-19
2711,58,POPLATEK MESICNE,1993-05-19
1652,74,POPLATEK MESICNE,1993-05-20
9591,74,POPLATEK MESICNE,1993-05-20
9828,11,POPLATEK MESICNE,1993-05-20
5385,44,POPLATEK TYDNE,1993-05-21
2991,19,POPLATEK MESICNE,1993-05-22
3469,76,POPLATEK MESICNE,1993-05-22
3844,67,POPLATEK MESICNE,1993-05-23
1442,23,POPLATEK MESICNE,1993-05-23
1272,40,POPLATEK TYDNE,1993-05-25
5546,43,POPLATEK MESICNE,1993-05-28
10911,1,POPLATEK TYDNE,1993-05-29
2962,1,POPLATEK MESICNE,1993-05-30
1617,45,POPLATEK MESICNE,1993-06-01
327,54,POPLATEK MESICNE,1993-06-02
640,32,POPLATEK MESICNE,1993-06-02
510,1,POPLATEK TYDNE,1993-06-02
2534,61,POPLATEK MESICNE,1993-06-03
1018,7,POPLATEK MESICNE,1993-06-03
1743,51,POPLATEK MESICNE,1993-06-04
2146,31,POPLATEK MESICNE,1993-06-05
4576,27,POPLATEK MESICNE,1993-06-05
3258,53,POPLATEK MESICNE,1993-06-05
2176,67,POPLATEK MESICNE,1993-06-06
1999,70,POPLATEK MESICNE,1993-06-06
2741,15,POPLATEK MESICNE,1993-06-07
4427,32,POPLATEK MESICNE,1993-06-07
